Date,Close/Last,Volume,Open,High,Low
02/23/2021,95.84,49818710,91.78,97.36,86.42
02/22/2021,96.7,33183720,100.54,101.8,96.5
02/19/2021,104.82,23344320,107.64,107.68,103.86
02/18/2021,106.22,27550500,104.06,106.96,102.28
02/17/2021,107.67,26660780,106.23,107.94,104.01
02/16/2021,109.19,22165940,110.96,111.8599,108.08
02/12/2021,110.11,19367930,107.58,110.3,106.44
02/11/2021,108.27,24715000,108.16,108.74,105.96
02/10/2021,106.55,30886980,108.78,109.2,103.46
02/09/2021,107.31,16442220,106.48,108.57,106.48
02/08/2021,107.36,19248750,106.96,107.5501,105.3486
02/05/2021,105.3,21653820,105.2,106.29,103.57
02/04/2021,104.21,18202230,102.04,104.3,100.75
02/03/2021,100.65,23793010,103.93,104.23,100.65
02/02/2021,101.82,23186640,99.89,102.9599,99.76
02/01/2021,97.12,26414870,93.55,98.03,91.74
01/29/2021,90.47,46069620,94.9,95.92,88.75
01/28/2021,96.48,22505430,95.89,101,95.35
01/27/2021,95.08,47225180,101.26,101.3,93
01/26/2021,103.42,22742240,103.72,104.58,102.175
01/25/2021,103.31,38292560,103.76,105.0682,96.8
01/22/2021,100.52,20469690,100.41,101.52,99.8801
01/21/2021,101.44,23170820,100.25,102.14,99
01/20/2021,98.98,30434080,95.855,99.885,95.53
01/19/2021,92.53,30241840,90.725,93.035,89.8
01/15/2021,88.685,35422980,90.705,91.565,87.54
01/14/2021,90.895,29558900,92.75,93.67,90.48
01/13/2021,92.3,27187500,90.785,93.095,90.2521
01/12/2021,90.54,36507860,91.06,92.005,88.2
01/11/2021,90.935,35325580,92.405,93.47,90.405
01/08/2021,95.14,38203820,93.655,95.44,91.7
01/07/2021,91.59,30923780,87.685,92.325,87.675
01/06/2021,85.42,52682640,84.95,89.17,84.11
01/05/2021,89.105,29678100,86.14,89.2775,86.14
01/04/2021,86.925,49368040,92.04,92.194,83.415
12/31/2020,90.9,26677040,90.135,91.24,89.165
12/30/2020,90.195,26201740,91.225,91.5,89.635
12/29/2020,90.21,30285680,91.175,91.7,89.405
12/28/2020,89.945,29263260,89.58,90.3775,88.015
12/24/2020,87.325,19266444,86.455,87.72,86.36
12/23/2020,86.205,29858600,87.52,87.88,86.09
12/22/2020,87.525,40502200,87.65,88.355,85.0875
12/21/2020,86.84,50899180,84.785,87.31,82.34
12/18/2020,87.165,42189020,88.78,88.955,85.265
12/17/2020,88.125,34818860,87.825,88.3375,86.795
12/16/2020,86.355,34397620,85.385,87.125,84.49
12/15/2020,84.93,39495700,84.29,85.005,82.46
12/14/2020,82.37,36671120,81.615,84.025,81.585
12/11/2020,80.65,42454900,79.825,80.765,77.95
12/10/2020,81.22,43336640,78.52,82.1333,77.63
12/09/2020,80.235,61219680,85.92,86.13,79.31
12/08/2020,85.995,33481440,84.825,86.34,83.305
12/07/2020,85.215,31006940,83.95,85.51,83.8
12/04/2020,83.795,31772020,82.8,83.92,82.255
12/03/2020,82.78,39365420,82.645,84.095,82.1755
12/02/2020,82.445,36532320,81.105,82.7207,79.59
12/01/2020,82.115,42698900,80.895,83.475,80.05
11/30/2020,79.01,46155520,78.86,79.3901,75.29
11/27/2020,78.605,23231880,78.02,79.5349,77.765
11/25/2020,76.515,32169420,75.86,77.005,75.225
11/24/2020,75.1,39003780,72.91,75.515,71.535
11/23/2020,72.15,44765200,72.91,73.87,70.38
11/20/2020,72.135,32498360,73.525,74.135,72.06
11/19/2020,73.63,39835440,71.455,73.845,70.98
11/18/2020,71.85,38585320,73.13,74.375,71.85
11/17/2020,73.555,45675900,74.4,74.68,73.065
11/16/2020,74.24,53437260,72.375,74.505,71.872
11/13/2020,72.57,52448620,71.89,73.04,70.33
11/12/2020,70.715,71928560,72.425,73.46,69.86
11/11/2020,71.765,63415380,69.035,72.095,68.74
11/10/2020,67.245,84333320,68.57,69.625,65.175
11/09/2020,71.08,82932760,77.84,79.19,70.74
11/06/2020,75.7,67575640,74.935,76.285,72.03
11/05/2020,75.445,75066280,74.83,76.275,73.795
11/04/2020,70.04,84593860,67.795,71.32,66.66
11/03/2020,61.7,67484660,59.99,63.2047,59.3
11/02/2020,58.745,75567960,59.895,61.045,56.805
10/30/2020,58.725,115582880,61.775,62.365,56.775
10/29/2020,63.115,69093680,60.97,65.23,60.62
10/28/2020,60.06,92360080,64.71,65.12,59.9001
10/27/2020,68.045,55965000,67.135,68.6,66.26
10/26/2020,66.475,79278300,67.885,69.99,63.745
10/23/2020,69.65,47771940,69.705,69.715,67.445
10/22/2020,69.245,59790800,69.85,70.5017,66.735
10/21/2020,69.21,60643140,69.545,71.505,68.86
10/20/2020,69.39,68677540,69.49,71.7,68.2938
10/19/2020,68.945,69388740,74.02,74.755,68.18
10/16/2020,72.55,57024280,75.035,76.1345,72.25
10/15/2020,73.68,62269140,71.51,74.195,70.97
10/14/2020,75.235,74492740,77.83,78.6,73.825
10/13/2020,77.14,70965400,78.6,79.165,76.075
10/12/2020,77.13,73529300,74.2,79.365,73.43
10/09/2020,70.55,48817880,68.77,70.6925,68.48
10/08/2020,67.545,49473420,68.225,68.3033,66.77
10/07/2020,66.565,56272240,65.085,67.055,64.69
10/06/2020,63.24,86412280,66.195,67.56,62.575
10/05/2020,66.83,52697680,64.235,67.05,64.125
10/02/2020,62.865,99888340,64.06,66.815,62.165
10/01/2020,68.515,69669000,68.285,69.035,66.89
09/30/2020,65.45,84692080,64.295,67.76,64.125
09/29/2020,64.18,55694340,64.74,65.4194,63.765
09/28/2020,64.86,68332800,64.645,65,62.785
